# Created from biom table																																								
#OTU ID	ECOLI	EXTBLK1	EXTBLK2	EXTBLK	FB200	FB20	FB5	FB60	FBF	NO15200	NO1520	NO155	NO1560	NO15F	NO7200	NO720	NO75	NO760	NO7F	PCRBLK	SM01200	SM0120	SM015	SM0160	SM01F	SM02200	SM0220	SM025	SM0260	SM02F	SM29200	SM2920	SM295	SM2960	SM29F	SM31200	SM3120	SM315	SM3160	SM31F
Otu100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	3	1	3	6	2	7	1	6	3	6	1	67	1	2	6	2	4
Otu101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	4	3	2
Otu102	0	0	0	0	0	0	0	0	0	36	42	29	60	11	133	86	166	98	210	0	3	0	0	2	0	7	6	7	0	5	439	349	284	418	106	38	26	20	31	15
Otu103	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	2	1	3	2	1
Otu104	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	1	1	2	0	0	1	0	0	1	0	18	3	9	9	107	1	2	1	1	3	0	1	0	0	1
Otu105	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	5	5	3	13	0	0	0	0	0	0	0	0	1	1
Otu106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
Otu107	0	0	0	0	0	0	0	0	0	571	249	371	688	805	157	94	133	148	170	0	0	0	1	4	4	17	0	3	7	4	639	494	232	724	76	84	54	56	85	56
Otu108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1
Otu109	0	192	0	0	61	0	0	0	0	421	1350	635	547	84	85	394	308	119	225	33	9841	15711	16929	10442	11835	1742	4422	6562	1385	3852	138	229	495	142	2787	1716	2479	1974	1409	797
Otu110	0	0	0	0	0	0	0	0	0	6	3	2	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	12	8	15	3	0	0	2	1	0
Otu111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	2	0	3	6	11	15	11	9	0	0	0	0	0
Otu113	0	0	0	0	0	0	0	0	0	15	11	21	17	50	5	2	5	2	13	0	0	0	0	0	0	0	0	0	0	0	2	2	3	8	0	1	0	0	1	1
Otu114	0	0	0	0	0	0	0	0	0	5	3	3	7	3	8	1	3	4	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Otu115	0	0	0	0	0	0	0	0	0	1	0	1	2	0	4	0	2	4	6	0	0	0	0	0	0	1	0	0	4	0	1	2	0	0	1	1	2	0	0	0
Otu116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	13	5	9	3	0	0	0	0	0
Otu117	0	0	0	0	0	0	0	0	0	4	9	10	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu118	0	0	0	0	0	0	0	0	0	99	93	74	71	31	120	45	51	62	114	0	84	25	41	40	72	199	78	183	176	323	512	730	683	628	286	275	260	141	274	54
Otu119	0	0	0	0	0	0	0	0	0	3	1	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu120	0	0	0	0	0	0	0	0	0	26	18	11	32	9	37	21	35	32	22	0	6	0	0	1	2	0	0	0	0	0	77	110	84	93	17	0	0	0	1	0
Otu121	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1	8	8	8	3	6	0	0	0	0	0	4	7	9	9	10
Otu122	0	0	0	0	0	0	0	0	0	5	2	1	1	0	1	2	2	1	0	0	1	0	1	1	0	0	8	2	0	1	0	1	0	0	0	1	1	2	0	1
